"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, Introduction:1","avodat-hakodesh-part-one-beit-netivot-introduction-1","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, Introduction:2","avodat-hakodesh-part-one-beit-netivot-introduction-2","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, Introduction:3","avodat-hakodesh-part-one-beit-netivot-introduction-3","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, Introduction:4","avodat-hakodesh-part-one-beit-netivot-introduction-4","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, Introduction:5","avodat-hakodesh-part-one-beit-netivot-introduction-5","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, Introduction:6","avodat-hakodesh-part-one-beit-netivot-introduction-6","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:1","avodat-hakodesh-part-one-beit-netivot-the-first-gate-1","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:2","avodat-hakodesh-part-one-beit-netivot-the-first-gate-2","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:3","avodat-hakodesh-part-one-beit-netivot-the-first-gate-3","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:4","avodat-hakodesh-part-one-beit-netivot-the-first-gate-4","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:5","avodat-hakodesh-part-one-beit-netivot-the-first-gate-5","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:6","avodat-hakodesh-part-one-beit-netivot-the-first-gate-6","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:7","avodat-hakodesh-part-one-beit-netivot-the-first-gate-7","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:8","avodat-hakodesh-part-one-beit-netivot-the-first-gate-8","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:9","avodat-hakodesh-part-one-beit-netivot-the-first-gate-9","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:10","avodat-hakodesh-part-one-beit-netivot-the-first-gate-10","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:11","avodat-hakodesh-part-one-beit-netivot-the-first-gate-11","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:12","avodat-hakodesh-part-one-beit-netivot-the-first-gate-12","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:13","avodat-hakodesh-part-one-beit-netivot-the-first-gate-13","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:14","avodat-hakodesh-part-one-beit-netivot-the-first-gate-14","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The First Gate:15","avodat-hakodesh-part-one-beit-netivot-the-first-gate-15","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The Second Gate:1","avodat-hakodesh-part-one-beit-netivot-the-second-gate-1","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The Second Gate:2","avodat-hakodesh-part-one-beit-netivot-the-second-gate-2","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The Second Gate:3","avodat-hakodesh-part-one-beit-netivot-the-second-gate-3","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The Second Gate:4","avodat-hakodesh-part-one-beit-netivot-the-second-gate-4","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The Second Gate:6","avodat-hakodesh-part-one-beit-netivot-the-second-gate-6","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The Third Gate:1","avodat-hakodesh-part-one-beit-netivot-the-third-gate-1","","","not_done",""
"avodat-hakodesh","Avodat HaKodesh","Avodat HaKodesh, Part One, Beit Netivot, The Third Gate:2","avodat-hakodesh-part-one-beit-netivot-the-third-gate-2","","","not_done",""
