"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 1:1:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-1-1-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 1:3:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-1-3-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 1:4:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-1-4-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 1:6:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-1-6-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 2:14:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-2-14-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 3:1:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-3-1-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 3:1:2","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-3-1-2","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 4:2:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-4-2-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 4:4:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-4-4-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 4:9:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-4-9-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 4:10:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-4-10-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 4:15:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-4-15-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 4:19:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-4-19-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 5:5:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-5-5-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 6:7:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-6-7-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 6:9:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-6-9-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 6:10:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-6-10-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 7:2:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-7-2-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 7:10:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-7-10-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 7:15:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-7-15-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 8:2:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-8-2-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 8:9:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-8-9-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 8:12:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-8-12-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 9:7:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-9-7-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 9:13:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-9-13-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 10:3:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-10-3-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 10:14:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-10-14-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 11:5:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-11-5-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 11:9:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-11-9-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 11:12:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-11-12-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 11:12:2","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-11-12-2","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 12:3:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-12-3-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 12:6:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-12-6-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 12:16:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-12-16-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 13:5:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-13-5-1","","","not_done",""
"benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing","Benei Binyamin on Mishneh Torah, Prayer and the Priestly Blessing 13:6:1","benei-binyamin-on-mishneh-torah-prayer-and-the-priestly-blessing-13-6-1","","","not_done",""
