"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"biur-halacha","Biur Halacha","Biur Halacha 1:1:1","biur-halacha-1-1-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 1:1:2","biur-halacha-1-1-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 1:1:3","biur-halacha-1-1-3","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 1:5:1","biur-halacha-1-5-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 2:1:1","biur-halacha-2-1-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 2:6:1","biur-halacha-2-6-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 3:2:1","biur-halacha-3-2-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 3:5:1","biur-halacha-3-5-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 3:10:1","biur-halacha-3-10-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 3:14:1","biur-halacha-3-14-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 3:16:1","biur-halacha-3-16-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:1:1","biur-halacha-4-1-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:1:2","biur-halacha-4-1-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:1:3","biur-halacha-4-1-3","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:2:1","biur-halacha-4-2-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:5:1","biur-halacha-4-5-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:6:1","biur-halacha-4-6-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:7:1","biur-halacha-4-7-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:7:2","biur-halacha-4-7-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:13:1","biur-halacha-4-13-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:13:2","biur-halacha-4-13-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:13:3","biur-halacha-4-13-3","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:14:1","biur-halacha-4-14-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:16:1","biur-halacha-4-16-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 4:21:1","biur-halacha-4-21-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 7:1:1","biur-halacha-7-1-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 7:2:1","biur-halacha-7-2-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 7:2:2","biur-halacha-7-2-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:7:1","biur-halacha-8-7-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:9:1","biur-halacha-8-9-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:9:2","biur-halacha-8-9-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:12:1","biur-halacha-8-12-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:13:1","biur-halacha-8-13-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:13:2","biur-halacha-8-13-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:14:1","biur-halacha-8-14-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:14:2","biur-halacha-8-14-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 8:14:3","biur-halacha-8-14-3","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 9:1:1","biur-halacha-9-1-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 9:1:2","biur-halacha-9-1-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:2:1","biur-halacha-10-2-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:2:2","biur-halacha-10-2-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:3:1","biur-halacha-10-3-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:3:2","biur-halacha-10-3-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:6:1","biur-halacha-10-6-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:7:1","biur-halacha-10-7-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:7:2","biur-halacha-10-7-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:7:3","biur-halacha-10-7-3","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:8:1","biur-halacha-10-8-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:8:2","biur-halacha-10-8-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:9:1","biur-halacha-10-9-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:10:1","biur-halacha-10-10-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:11:1","biur-halacha-10-11-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 10:12:1","biur-halacha-10-12-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 11:1:1","biur-halacha-11-1-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 11:1:2","biur-halacha-11-1-2","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 11:2:1","biur-halacha-11-2-1","","","not_done",""
"biur-halacha","Biur Halacha","Biur Halacha 11:2:2","biur-halacha-11-2-2","","","not_done",""
