"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:1","dina-degarmei-1","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:2","dina-degarmei-2","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:3","dina-degarmei-3","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:4","dina-degarmei-4","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:5","dina-degarmei-5","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:6","dina-degarmei-6","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:7","dina-degarmei-7","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:8","dina-degarmei-8","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:9","dina-degarmei-9","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:10","dina-degarmei-10","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:11","dina-degarmei-11","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:12","dina-degarmei-12","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:13","dina-degarmei-13","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:14","dina-degarmei-14","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:15","dina-degarmei-15","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:16","dina-degarmei-16","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:17","dina-degarmei-17","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:18","dina-degarmei-18","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:19","dina-degarmei-19","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:20","dina-degarmei-20","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:21","dina-degarmei-21","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:22","dina-degarmei-22","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:23","dina-degarmei-23","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:24","dina-degarmei-24","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:25","dina-degarmei-25","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:26","dina-degarmei-26","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:27","dina-degarmei-27","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:28","dina-degarmei-28","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:29","dina-degarmei-29","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:30","dina-degarmei-30","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:31","dina-degarmei-31","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:32","dina-degarmei-32","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:33","dina-degarmei-33","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:34","dina-degarmei-34","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:35","dina-degarmei-35","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:36","dina-degarmei-36","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:37","dina-degarmei-37","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:38","dina-degarmei-38","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:39","dina-degarmei-39","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:40","dina-degarmei-40","","","not_done",""
"dina-degarmei","Dina DeGarmei","Dina DeGarmei:41","dina-degarmei-41","","","not_done",""
