"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:1:1","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-1-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:1:2","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-1-2","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:1:3","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-1-3","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:2:1","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-2-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:3:1","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-3-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:3:2","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-3-2","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:3:3","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-3-3","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:3:4","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-3-4","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:4:1","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-4-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav","Divrei Yirmiyahu on Mishneh Torah, Shofar, Sukkah and Lulav 1:5:1","divrei-yirmiyahu-on-mishneh-torah-shofar-sukkah-and-lulav-1-5-1","","","not_done",""
