"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:1:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-1-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:1:2","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-1-2","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:2:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-2-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:2:2","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-2-2","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:3:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-3-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:3:2","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-3-2","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:4:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-4-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:7:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-7-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:7:2","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-7-2","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:8:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-8-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:12:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-12-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 1:13:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-1-13-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 2:1:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-2-1-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 2:2:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-2-2-1","","","not_done",""
"divrei-yirmiyahu-on-mishneh-torah-torah-study","Divrei Yirmiyahu on Mishneh Torah, Torah Study","Divrei Yirmiyahu on Mishneh Torah, Torah Study 2:4:1","divrei-yirmiyahu-on-mishneh-torah-torah-study-2-4-1","","","not_done",""
