"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 1:1","eshel-avraham-on-shulchan-arukh-orach-chayim-1-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 1:2","eshel-avraham-on-shulchan-arukh-orach-chayim-1-2","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 1:3","eshel-avraham-on-shulchan-arukh-orach-chayim-1-3","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 1:4","eshel-avraham-on-shulchan-arukh-orach-chayim-1-4","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 3:1","eshel-avraham-on-shulchan-arukh-orach-chayim-3-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 3:2","eshel-avraham-on-shulchan-arukh-orach-chayim-3-2","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 5:1","eshel-avraham-on-shulchan-arukh-orach-chayim-5-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 6:1","eshel-avraham-on-shulchan-arukh-orach-chayim-6-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 7:1","eshel-avraham-on-shulchan-arukh-orach-chayim-7-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 8:1","eshel-avraham-on-shulchan-arukh-orach-chayim-8-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 8:2","eshel-avraham-on-shulchan-arukh-orach-chayim-8-2","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 8:3","eshel-avraham-on-shulchan-arukh-orach-chayim-8-3","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 9:1","eshel-avraham-on-shulchan-arukh-orach-chayim-9-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 10:1","eshel-avraham-on-shulchan-arukh-orach-chayim-10-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 10:2","eshel-avraham-on-shulchan-arukh-orach-chayim-10-2","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 10:3","eshel-avraham-on-shulchan-arukh-orach-chayim-10-3","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 11:1","eshel-avraham-on-shulchan-arukh-orach-chayim-11-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 12:1","eshel-avraham-on-shulchan-arukh-orach-chayim-12-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 14:1","eshel-avraham-on-shulchan-arukh-orach-chayim-14-1","","","not_done",""
"eshel-avraham-on-shulchan-arukh-orach-chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim","Eshel Avraham on Shulchan Arukh, Orach Chayim 14:2","eshel-avraham-on-shulchan-arukh-orach-chayim-14-2","","","not_done",""
