"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 1:1:1","even-haazel-on-mishneh-torah-mourning-1-1-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 1:1:2","even-haazel-on-mishneh-torah-mourning-1-1-2","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 1:2:1","even-haazel-on-mishneh-torah-mourning-1-2-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 3:6:1","even-haazel-on-mishneh-torah-mourning-3-6-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 3:7:1","even-haazel-on-mishneh-torah-mourning-3-7-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 3:13:1","even-haazel-on-mishneh-torah-mourning-3-13-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 3:14:1","even-haazel-on-mishneh-torah-mourning-3-14-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 4:6:1","even-haazel-on-mishneh-torah-mourning-4-6-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 5:2:1","even-haazel-on-mishneh-torah-mourning-5-2-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 5:3:1","even-haazel-on-mishneh-torah-mourning-5-3-1","","","not_done",""
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","Even Ha'azel on Mishneh Torah, Mourning 14:20:1","even-haazel-on-mishneh-torah-mourning-14-20-1","","","not_done",""
