"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:1:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:3:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-3-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:4:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-4-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:5:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-5-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:6:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-6-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:8:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-8-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:9:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-9-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:11:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-11-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:13:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-13-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:15:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-15-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:16:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-16-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:18:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-18-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:19:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-19-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:20:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-20-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 1:21:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-1-21-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 2:1:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-2-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 2:5:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-2-5-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 2:6:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-2-6-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property","Kiryat Sefer on Mishneh Torah, Appraisals and Devoted Property 2:9:1","kiryat-sefer-on-mishneh-torah-appraisals-and-devoted-property-2-9-1","","","not_done",""
