"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:1:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:11:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-11-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:13:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-13-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:14:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-14-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:15:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-15-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:16:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-16-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:17:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-17-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 1:18:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-1-18-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 2:1:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-2-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 2:9:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-2-9-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 2:14:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-2-14-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 3:1:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-3-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 3:8:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-3-8-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 4:1:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-4-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 4:4:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-4-4-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 4:5:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-4-5-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 4:10:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-4-10-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 4:14:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-4-14-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property","Kiryat Sefer on Mishneh Torah, One Who Injures a Person or Property 4:15:1","kiryat-sefer-on-mishneh-torah-one-who-injures-a-person-or-property-4-15-1","","","not_done",""
