"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:1:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:2:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-2-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:3:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-3-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:4:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-4-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:5:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-5-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:6:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-6-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:7:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-7-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:8:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-8-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:9:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-9-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:10:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-10-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar","Kiryat Sefer on Mishneh Torah, Things Forbidden on the Altar 1:11:1","kiryat-sefer-on-mishneh-torah-things-forbidden-on-the-altar-1-11-1","","","not_done",""
