"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:1:1","kiryat-sefer-on-mishneh-torah-trespass-1-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:4:1","kiryat-sefer-on-mishneh-torah-trespass-1-4-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:5:1","kiryat-sefer-on-mishneh-torah-trespass-1-5-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:6:1","kiryat-sefer-on-mishneh-torah-trespass-1-6-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:7:1","kiryat-sefer-on-mishneh-torah-trespass-1-7-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:9:1","kiryat-sefer-on-mishneh-torah-trespass-1-9-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:10:1","kiryat-sefer-on-mishneh-torah-trespass-1-10-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:12:1","kiryat-sefer-on-mishneh-torah-trespass-1-12-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 1:13:1","kiryat-sefer-on-mishneh-torah-trespass-1-13-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-trespass","Kiryat Sefer on Mishneh Torah, Trespass","Kiryat Sefer on Mishneh Torah, Trespass 2:1:1","kiryat-sefer-on-mishneh-torah-trespass-2-1-1","","","not_done",""
