"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:1:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:2:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-2-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:3:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-3-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:4:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-4-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:6:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-6-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:7:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-7-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:8:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-8-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:10:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-10-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:12:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-12-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:14:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-14-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:16:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-16-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 1:20:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-1-20-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 2:1:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-2-1-1","","","not_done",""
"kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity","Kiryat Sefer on Mishneh Torah, Woman Suspected of Infidelity 2:2:1","kiryat-sefer-on-mishneh-torah-woman-suspected-of-infidelity-2-2-1","","","not_done",""
