"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:1:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-1-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:2:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-2-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:3:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-3-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:4:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-4-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:6:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-6-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:10:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-10-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:13:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-13-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:14:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-14-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:16:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-16-1","","","not_done",""
"kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday","Kovetz Al Yad HaChazakah on Mishneh Torah, Rest on a Holiday 1:18:1","kovetz-al-yad-hachazakah-on-mishneh-torah-rest-on-a-holiday-1-18-1","","","not_done",""
