"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:1:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-1-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:2:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-2-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:2:2","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-2-2","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:2:3","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-2-3","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:5:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-5-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:6:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-6-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:6:2","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-6-2","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 1:9:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-1-9-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 2:1:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-2-1-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 2:2:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-2-2-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 2:3:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-2-3-1","","","not_done",""
"lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing","Lechem Mishneh on Mishneh Torah, Prayer and the Priestly Blessing 2:4:1","lechem-mishneh-on-mishneh-torah-prayer-and-the-priestly-blessing-2-4-1","","","not_done",""
