"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 1:1:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-1-1-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 1:2:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-1-2-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 1:3:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-1-3-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 1:3:2","maaseh-rokeach-on-daily-offerings-and-additional-offerings-1-3-2","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 1:7:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-1-7-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 1:9:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-1-9-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:1:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-1-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:2:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-2-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:2:2","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-2-2","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:2:3","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-2-3","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:5:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-5-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:6:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-6-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:10:1","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-10-1","","","not_done",""
"maaseh-rokeach-on-daily-offerings-and-additional-offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings","Maaseh Rokeach on Daily Offerings and Additional Offerings 2:10:2","maaseh-rokeach-on-daily-offerings-and-additional-offerings-2-10-2","","","not_done",""
