"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 1:1:1","maaseh-rokeach-on-human-dispositions-1-1-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 1:5:1","maaseh-rokeach-on-human-dispositions-1-5-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 2:1:1","maaseh-rokeach-on-human-dispositions-2-1-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 2:3:1","maaseh-rokeach-on-human-dispositions-2-3-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 2:3:2","maaseh-rokeach-on-human-dispositions-2-3-2","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 2:6:1","maaseh-rokeach-on-human-dispositions-2-6-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 3:1:1","maaseh-rokeach-on-human-dispositions-3-1-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 3:2:1","maaseh-rokeach-on-human-dispositions-3-2-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 3:2:2","maaseh-rokeach-on-human-dispositions-3-2-2","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 4:1:1","maaseh-rokeach-on-human-dispositions-4-1-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 4:4:1","maaseh-rokeach-on-human-dispositions-4-4-1","","","not_done",""
"maaseh-rokeach-on-human-dispositions","Maaseh Rokeach on Human Dispositions","Maaseh Rokeach on Human Dispositions 4:5:1","maaseh-rokeach-on-human-dispositions-4-5-1","","","not_done",""
