"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:1:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-1-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:4:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-4-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:5:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-5-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:5:2","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-5-2","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:6:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-6-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:6:2","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-6-2","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:11:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-11-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:12:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-12-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:13:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-13-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:15:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-15-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 1:16:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-1-16-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:1:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-1-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:1:2","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-1-2","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:3:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-3-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:7:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-7-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:8:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-8-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:8:2","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-8-2","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:10:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-10-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:11:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-11-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 2:12:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-2-12-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 3:2:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-3-2-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 3:5:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-3-5-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 3:8:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-3-8-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 3:9:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-3-9-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 3:10:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-3-10-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 3:11:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-3-11-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:4:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-4-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:7:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-7-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:11:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-11-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:12:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-12-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:18:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-18-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:18:2","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-18-2","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:24:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-24-1","","","not_done",""
"maaseh-rokeach-on-sabbatical-year-and-the-jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee","Maaseh Rokeach on Sabbatical Year and the Jubilee 4:25:1","maaseh-rokeach-on-sabbatical-year-and-the-jubilee-4-25-1","","","not_done",""
