"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:1:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-1-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:5:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-5-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:6:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-6-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:6:2","maaseh-rokeach-on-sacrifices-rendered-unfit-1-6-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:15:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-15-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:17:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-17-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:18:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-18-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:20:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-20-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:21:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-21-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:21:2","maaseh-rokeach-on-sacrifices-rendered-unfit-1-21-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:23:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-23-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:27:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-27-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:27:2","maaseh-rokeach-on-sacrifices-rendered-unfit-1-27-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:28:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-28-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:36:1","maaseh-rokeach-on-sacrifices-rendered-unfit-1-36-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 1:36:2","maaseh-rokeach-on-sacrifices-rendered-unfit-1-36-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:1:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-1-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:3:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-3-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:8:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-8-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:12:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-12-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:13:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-13-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:14:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-14-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:14:2","maaseh-rokeach-on-sacrifices-rendered-unfit-2-14-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:16:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-16-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:17:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-17-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:19:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-19-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:23:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-23-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:23:2","maaseh-rokeach-on-sacrifices-rendered-unfit-2-23-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 2:26:1","maaseh-rokeach-on-sacrifices-rendered-unfit-2-26-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:2:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-2-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:2:2","maaseh-rokeach-on-sacrifices-rendered-unfit-3-2-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:7:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-7-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:7:2","maaseh-rokeach-on-sacrifices-rendered-unfit-3-7-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:9:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-9-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:9:2","maaseh-rokeach-on-sacrifices-rendered-unfit-3-9-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:11:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-11-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:14:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-14-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:17:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-17-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:18:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-18-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:18:2","maaseh-rokeach-on-sacrifices-rendered-unfit-3-18-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:19:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-19-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:19:2","maaseh-rokeach-on-sacrifices-rendered-unfit-3-19-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:20:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-20-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:21:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-21-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:23:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-23-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 3:24:1","maaseh-rokeach-on-sacrifices-rendered-unfit-3-24-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:1:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-1-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:1:2","maaseh-rokeach-on-sacrifices-rendered-unfit-4-1-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:3:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-3-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:4:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-4-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:6:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-6-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:6:2","maaseh-rokeach-on-sacrifices-rendered-unfit-4-6-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:12:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-12-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:13:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-13-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:13:2","maaseh-rokeach-on-sacrifices-rendered-unfit-4-13-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:14:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-14-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:15:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-15-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:15:2","maaseh-rokeach-on-sacrifices-rendered-unfit-4-15-2","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:15:3","maaseh-rokeach-on-sacrifices-rendered-unfit-4-15-3","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:18:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-18-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:19:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-19-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:21:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-21-1","","","not_done",""
"maaseh-rokeach-on-sacrifices-rendered-unfit","Maaseh Rokeach on Sacrifices Rendered Unfit","Maaseh Rokeach on Sacrifices Rendered Unfit 4:22:1","maaseh-rokeach-on-sacrifices-rendered-unfit-4-22-1","","","not_done",""
