"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:1:1","maaseh-rokeach-on-the-chosen-temple-1-1-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:8:1","maaseh-rokeach-on-the-chosen-temple-1-8-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:9:1","maaseh-rokeach-on-the-chosen-temple-1-9-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:9:2","maaseh-rokeach-on-the-chosen-temple-1-9-2","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:10:1","maaseh-rokeach-on-the-chosen-temple-1-10-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:11:1","maaseh-rokeach-on-the-chosen-temple-1-11-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:13:1","maaseh-rokeach-on-the-chosen-temple-1-13-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:14:1","maaseh-rokeach-on-the-chosen-temple-1-14-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:16:1","maaseh-rokeach-on-the-chosen-temple-1-16-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:17:1","maaseh-rokeach-on-the-chosen-temple-1-17-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 1:20:1","maaseh-rokeach-on-the-chosen-temple-1-20-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:1:1","maaseh-rokeach-on-the-chosen-temple-2-1-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:4:1","maaseh-rokeach-on-the-chosen-temple-2-4-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:7:1","maaseh-rokeach-on-the-chosen-temple-2-7-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:7:2","maaseh-rokeach-on-the-chosen-temple-2-7-2","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:8:1","maaseh-rokeach-on-the-chosen-temple-2-8-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:9:1","maaseh-rokeach-on-the-chosen-temple-2-9-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:9:2","maaseh-rokeach-on-the-chosen-temple-2-9-2","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:11:1","maaseh-rokeach-on-the-chosen-temple-2-11-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:13:1","maaseh-rokeach-on-the-chosen-temple-2-13-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:13:2","maaseh-rokeach-on-the-chosen-temple-2-13-2","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:15:1","maaseh-rokeach-on-the-chosen-temple-2-15-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:17:1","maaseh-rokeach-on-the-chosen-temple-2-17-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 2:18:1","maaseh-rokeach-on-the-chosen-temple-2-18-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:2:1","maaseh-rokeach-on-the-chosen-temple-3-2-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:3:1","maaseh-rokeach-on-the-chosen-temple-3-3-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:4:1","maaseh-rokeach-on-the-chosen-temple-3-4-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:5:1","maaseh-rokeach-on-the-chosen-temple-3-5-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:6:1","maaseh-rokeach-on-the-chosen-temple-3-6-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:6:2","maaseh-rokeach-on-the-chosen-temple-3-6-2","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:10:1","maaseh-rokeach-on-the-chosen-temple-3-10-1","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:10:2","maaseh-rokeach-on-the-chosen-temple-3-10-2","","","not_done",""
"maaseh-rokeach-on-the-chosen-temple","Maaseh Rokeach on The Chosen Temple","Maaseh Rokeach on The Chosen Temple 3:11:1","maaseh-rokeach-on-the-chosen-temple-3-11-1","","","not_done",""
