"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:1:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-1-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:1:2","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-1-2","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:2:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-2-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:3:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-3-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:3:2","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-3-2","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:3:3","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-3-3","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:3:4","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-3-4","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:4:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-4-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:4:2","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-4-2","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:5:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-5-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:6:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-6-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:6:2","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-6-2","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:6:3","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-6-3","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:7:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-1-7-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:1:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-1-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:1:2","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-1-2","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:2:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-2-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:3:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-3-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:4:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-4-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:4:2","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-4-2","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:5:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-5-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:6:1","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-6-1","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:6:2","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-6-2","","","not_done",""
"maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","Maggid Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:6:3","maggid-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei-2-6-3","","","not_done",""
