"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:1:1","migdal-oz-on-mishneh-torah-eruvin-1-1-1","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:1:2","migdal-oz-on-mishneh-torah-eruvin-1-1-2","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:4:1","migdal-oz-on-mishneh-torah-eruvin-1-4-1","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:4:2","migdal-oz-on-mishneh-torah-eruvin-1-4-2","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:4:3","migdal-oz-on-mishneh-torah-eruvin-1-4-3","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:4:4","migdal-oz-on-mishneh-torah-eruvin-1-4-4","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:4:5","migdal-oz-on-mishneh-torah-eruvin-1-4-5","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:10:1","migdal-oz-on-mishneh-torah-eruvin-1-10-1","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:10:2","migdal-oz-on-mishneh-torah-eruvin-1-10-2","","","not_done",""
"migdal-oz-on-mishneh-torah-eruvin","Migdal Oz on Mishneh Torah, Eruvin","Migdal Oz on Mishneh Torah, Eruvin 1:10:3","migdal-oz-on-mishneh-torah-eruvin-1-10-3","","","not_done",""
