"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 1:1:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-1-1-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 1:3:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-1-3-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 1:7:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-1-7-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 1:11:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-1-11-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 2:2:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-2-2-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 2:4:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-2-4-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 2:7:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-2-7-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 2:8:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-2-8-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 2:10:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-2-10-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 2:12:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-2-12-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 2:13:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-2-13-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 3:2:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-3-2-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 3:4:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-3-4-1","","","not_done",""
"mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings","Mishneh LaMelech on Mishneh Torah, Daily Offerings and Additional Offerings 3:12:1","mishneh-lamelech-on-mishneh-torah-daily-offerings-and-additional-offerings-3-12-1","","","not_done",""
