"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:1","mishneh-torah-fasts-1-1","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:2","mishneh-torah-fasts-1-2","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:3","mishneh-torah-fasts-1-3","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:4","mishneh-torah-fasts-1-4","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:5","mishneh-torah-fasts-1-5","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:6","mishneh-torah-fasts-1-6","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:7","mishneh-torah-fasts-1-7","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:8","mishneh-torah-fasts-1-8","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:9","mishneh-torah-fasts-1-9","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:10","mishneh-torah-fasts-1-10","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:11","mishneh-torah-fasts-1-11","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:12","mishneh-torah-fasts-1-12","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:13","mishneh-torah-fasts-1-13","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:14","mishneh-torah-fasts-1-14","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:15","mishneh-torah-fasts-1-15","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:16","mishneh-torah-fasts-1-16","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 1:17","mishneh-torah-fasts-1-17","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:1","mishneh-torah-fasts-2-1","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:2","mishneh-torah-fasts-2-2","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:3","mishneh-torah-fasts-2-3","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:4","mishneh-torah-fasts-2-4","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:5","mishneh-torah-fasts-2-5","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:6","mishneh-torah-fasts-2-6","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:7","mishneh-torah-fasts-2-7","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:8","mishneh-torah-fasts-2-8","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:9","mishneh-torah-fasts-2-9","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:10","mishneh-torah-fasts-2-10","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:11","mishneh-torah-fasts-2-11","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:12","mishneh-torah-fasts-2-12","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:13","mishneh-torah-fasts-2-13","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:14","mishneh-torah-fasts-2-14","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:15","mishneh-torah-fasts-2-15","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:16","mishneh-torah-fasts-2-16","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:17","mishneh-torah-fasts-2-17","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 2:18","mishneh-torah-fasts-2-18","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:1","mishneh-torah-fasts-3-1","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:2","mishneh-torah-fasts-3-2","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:3","mishneh-torah-fasts-3-3","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:4","mishneh-torah-fasts-3-4","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:5","mishneh-torah-fasts-3-5","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:6","mishneh-torah-fasts-3-6","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:7","mishneh-torah-fasts-3-7","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:8","mishneh-torah-fasts-3-8","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:9","mishneh-torah-fasts-3-9","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:10","mishneh-torah-fasts-3-10","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 3:11","mishneh-torah-fasts-3-11","","","not_done",""
"mishneh-torah-fasts","Mishneh Torah, Fasts","Mishneh Torah, Fasts 4:1","mishneh-torah-fasts-4-1","","","not_done",""
