"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:1","mishneh-torah-trespass-1-1","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:2","mishneh-torah-trespass-1-2","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:3","mishneh-torah-trespass-1-3","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:4","mishneh-torah-trespass-1-4","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:5","mishneh-torah-trespass-1-5","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:6","mishneh-torah-trespass-1-6","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:7","mishneh-torah-trespass-1-7","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:8","mishneh-torah-trespass-1-8","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:9","mishneh-torah-trespass-1-9","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:10","mishneh-torah-trespass-1-10","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:11","mishneh-torah-trespass-1-11","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:12","mishneh-torah-trespass-1-12","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 1:13","mishneh-torah-trespass-1-13","","","not_done",""
"mishneh-torah-trespass","Mishneh Torah, Trespass","Mishneh Torah, Trespass 2:1","mishneh-torah-trespass-2-1","","","not_done",""
