"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 1:1:1","ohr-sameach-on-mishneh-torah-agents-and-partners-1-1-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 1:5:1","ohr-sameach-on-mishneh-torah-agents-and-partners-1-5-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 1:6:1","ohr-sameach-on-mishneh-torah-agents-and-partners-1-6-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 1:9:1","ohr-sameach-on-mishneh-torah-agents-and-partners-1-9-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 2:6:1","ohr-sameach-on-mishneh-torah-agents-and-partners-2-6-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 3:11:1","ohr-sameach-on-mishneh-torah-agents-and-partners-3-11-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 4:1:1","ohr-sameach-on-mishneh-torah-agents-and-partners-4-1-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 4:4:1","ohr-sameach-on-mishneh-torah-agents-and-partners-4-4-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 5:2:1","ohr-sameach-on-mishneh-torah-agents-and-partners-5-2-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 5:2:2","ohr-sameach-on-mishneh-torah-agents-and-partners-5-2-2","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 6:2:1","ohr-sameach-on-mishneh-torah-agents-and-partners-6-2-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 7:1:1","ohr-sameach-on-mishneh-torah-agents-and-partners-7-1-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 9:8:1","ohr-sameach-on-mishneh-torah-agents-and-partners-9-8-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 10:1:1","ohr-sameach-on-mishneh-torah-agents-and-partners-10-1-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 10:4:1","ohr-sameach-on-mishneh-torah-agents-and-partners-10-4-1","","","not_done",""
"ohr-sameach-on-mishneh-torah-agents-and-partners","Ohr Sameach on Mishneh Torah, Agents and Partners","Ohr Sameach on Mishneh Torah, Agents and Partners 10:5:1","ohr-sameach-on-mishneh-torah-agents-and-partners-10-5-1","","","not_done",""
