"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:1","shibbolei-haleket-introduction-introduction-1","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:2","shibbolei-haleket-introduction-introduction-2","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:3","shibbolei-haleket-introduction-introduction-3","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:4","shibbolei-haleket-introduction-introduction-4","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:5","shibbolei-haleket-introduction-introduction-5","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:6","shibbolei-haleket-introduction-introduction-6","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:7","shibbolei-haleket-introduction-introduction-7","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:8","shibbolei-haleket-introduction-introduction-8","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:9","shibbolei-haleket-introduction-introduction-9","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:10","shibbolei-haleket-introduction-introduction-10","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:11","shibbolei-haleket-introduction-introduction-11","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Introduction:12","shibbolei-haleket-introduction-introduction-12","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:1","shibbolei-haleket-index-index-1-1","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:2","shibbolei-haleket-index-index-1-2","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:3","shibbolei-haleket-index-index-1-3","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:4","shibbolei-haleket-index-index-1-4","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:5","shibbolei-haleket-index-index-1-5","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:6","shibbolei-haleket-index-index-1-6","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:7","shibbolei-haleket-index-index-1-7","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:8","shibbolei-haleket-index-index-1-8","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:9","shibbolei-haleket-index-index-1-9","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:10","shibbolei-haleket-index-index-1-10","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:11","shibbolei-haleket-index-index-1-11","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:12","shibbolei-haleket-index-index-1-12","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:13","shibbolei-haleket-index-index-1-13","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:14","shibbolei-haleket-index-index-1-14","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:15","shibbolei-haleket-index-index-1-15","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:16","shibbolei-haleket-index-index-1-16","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:17","shibbolei-haleket-index-index-1-17","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:18","shibbolei-haleket-index-index-1-18","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:19","shibbolei-haleket-index-index-1-19","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:20","shibbolei-haleket-index-index-1-20","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:21","shibbolei-haleket-index-index-1-21","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:22","shibbolei-haleket-index-index-1-22","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:23","shibbolei-haleket-index-index-1-23","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:24","shibbolei-haleket-index-index-1-24","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:25","shibbolei-haleket-index-index-1-25","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:26","shibbolei-haleket-index-index-1-26","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:27","shibbolei-haleket-index-index-1-27","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:28","shibbolei-haleket-index-index-1-28","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:29","shibbolei-haleket-index-index-1-29","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:30","shibbolei-haleket-index-index-1-30","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:31","shibbolei-haleket-index-index-1-31","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:32","shibbolei-haleket-index-index-1-32","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:33","shibbolei-haleket-index-index-1-33","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:34","shibbolei-haleket-index-index-1-34","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:35","shibbolei-haleket-index-index-1-35","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:36","shibbolei-haleket-index-index-1-36","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:37","shibbolei-haleket-index-index-1-37","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:38","shibbolei-haleket-index-index-1-38","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:39","shibbolei-haleket-index-index-1-39","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:40","shibbolei-haleket-index-index-1-40","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:41","shibbolei-haleket-index-index-1-41","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:42","shibbolei-haleket-index-index-1-42","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:43","shibbolei-haleket-index-index-1-43","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:44","shibbolei-haleket-index-index-1-44","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:45","shibbolei-haleket-index-index-1-45","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:46","shibbolei-haleket-index-index-1-46","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:47","shibbolei-haleket-index-index-1-47","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:48","shibbolei-haleket-index-index-1-48","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:49","shibbolei-haleket-index-index-1-49","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:50","shibbolei-haleket-index-index-1-50","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:51","shibbolei-haleket-index-index-1-51","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:52","shibbolei-haleket-index-index-1-52","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:53","shibbolei-haleket-index-index-1-53","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:54","shibbolei-haleket-index-index-1-54","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:55","shibbolei-haleket-index-index-1-55","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:56","shibbolei-haleket-index-index-1-56","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:57","shibbolei-haleket-index-index-1-57","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:58","shibbolei-haleket-index-index-1-58","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:59","shibbolei-haleket-index-index-1-59","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:60","shibbolei-haleket-index-index-1-60","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:61","shibbolei-haleket-index-index-1-61","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:62","shibbolei-haleket-index-index-1-62","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:63","shibbolei-haleket-index-index-1-63","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:64","shibbolei-haleket-index-index-1-64","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:65","shibbolei-haleket-index-index-1-65","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:66","shibbolei-haleket-index-index-1-66","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:67","shibbolei-haleket-index-index-1-67","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:68","shibbolei-haleket-index-index-1-68","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:69","shibbolei-haleket-index-index-1-69","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:70","shibbolei-haleket-index-index-1-70","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:71","shibbolei-haleket-index-index-1-71","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:72","shibbolei-haleket-index-index-1-72","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:73","shibbolei-haleket-index-index-1-73","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:74","shibbolei-haleket-index-index-1-74","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:75","shibbolei-haleket-index-index-1-75","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:76","shibbolei-haleket-index-index-1-76","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:77","shibbolei-haleket-index-index-1-77","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:78","shibbolei-haleket-index-index-1-78","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:79","shibbolei-haleket-index-index-1-79","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:80","shibbolei-haleket-index-index-1-80","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:81","shibbolei-haleket-index-index-1-81","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:82","shibbolei-haleket-index-index-1-82","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:83","shibbolei-haleket-index-index-1-83","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:84","shibbolei-haleket-index-index-1-84","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:85","shibbolei-haleket-index-index-1-85","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:86","shibbolei-haleket-index-index-1-86","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:87","shibbolei-haleket-index-index-1-87","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:88","shibbolei-haleket-index-index-1-88","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:89","shibbolei-haleket-index-index-1-89","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:90","shibbolei-haleket-index-index-1-90","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:91","shibbolei-haleket-index-index-1-91","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:92","shibbolei-haleket-index-index-1-92","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:93","shibbolei-haleket-index-index-1-93","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:94","shibbolei-haleket-index-index-1-94","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:95","shibbolei-haleket-index-index-1-95","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:96","shibbolei-haleket-index-index-1-96","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:97","shibbolei-haleket-index-index-1-97","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:98","shibbolei-haleket-index-index-1-98","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:99","shibbolei-haleket-index-index-1-99","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:100","shibbolei-haleket-index-index-1-100","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:101","shibbolei-haleket-index-index-1-101","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:102","shibbolei-haleket-index-index-1-102","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:103","shibbolei-haleket-index-index-1-103","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:104","shibbolei-haleket-index-index-1-104","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:105","shibbolei-haleket-index-index-1-105","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:106","shibbolei-haleket-index-index-1-106","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:107","shibbolei-haleket-index-index-1-107","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:108","shibbolei-haleket-index-index-1-108","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:109","shibbolei-haleket-index-index-1-109","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:110","shibbolei-haleket-index-index-1-110","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:111","shibbolei-haleket-index-index-1-111","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:112","shibbolei-haleket-index-index-1-112","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:113","shibbolei-haleket-index-index-1-113","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:114","shibbolei-haleket-index-index-1-114","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:115","shibbolei-haleket-index-index-1-115","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:116","shibbolei-haleket-index-index-1-116","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:117","shibbolei-haleket-index-index-1-117","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:118","shibbolei-haleket-index-index-1-118","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:119","shibbolei-haleket-index-index-1-119","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:120","shibbolei-haleket-index-index-1-120","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:121","shibbolei-haleket-index-index-1-121","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:122","shibbolei-haleket-index-index-1-122","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:123","shibbolei-haleket-index-index-1-123","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:124","shibbolei-haleket-index-index-1-124","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:125","shibbolei-haleket-index-index-1-125","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:126","shibbolei-haleket-index-index-1-126","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:127","shibbolei-haleket-index-index-1-127","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:128","shibbolei-haleket-index-index-1-128","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:129","shibbolei-haleket-index-index-1-129","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:130","shibbolei-haleket-index-index-1-130","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:131","shibbolei-haleket-index-index-1-131","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:132","shibbolei-haleket-index-index-1-132","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:133","shibbolei-haleket-index-index-1-133","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:134","shibbolei-haleket-index-index-1-134","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:135","shibbolei-haleket-index-index-1-135","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:136","shibbolei-haleket-index-index-1-136","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:137","shibbolei-haleket-index-index-1-137","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:138","shibbolei-haleket-index-index-1-138","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:139","shibbolei-haleket-index-index-1-139","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:140","shibbolei-haleket-index-index-1-140","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:141","shibbolei-haleket-index-index-1-141","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:142","shibbolei-haleket-index-index-1-142","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:143","shibbolei-haleket-index-index-1-143","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:144","shibbolei-haleket-index-index-1-144","","","not_done",""
"shibbolei-haleket","Shibbolei HaLeket","Shibbolei HaLeket, Index 1:145","shibbolei-haleket-index-index-1-145","","","not_done",""
