"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:1:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-1-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:2:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-2-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:3:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-3-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:4:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-4-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:5:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-5-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:6:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-6-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:7:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-7-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 1:8:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-1-8-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 3:11:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-3-11-1","","","not_done",""
"shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement","Shorshei HaYam on Mishneh Torah, Service on the Day of Atonement 5:25:1","shorshei-hayam-on-mishneh-torah-service-on-the-day-of-atonement-5-25-1","","","not_done",""
