"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 1:1:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-1-1-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 1:6:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-1-6-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 1:14:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-1-14-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 2:3:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-2-3-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 3:2:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-3-2-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 3:10:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-3-10-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 3:13:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-3-13-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 3:14:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-3-14-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 3:15:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-3-15-1","","","not_done",""
"yekhahen-peer-on-mishneh-torah-sacrificial-procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure","Yekhahen Pe'er on Mishneh Torah, Sacrificial Procedure 4:1:1","yekhahen-peer-on-mishneh-torah-sacrificial-procedure-4-1-1","","","not_done",""
