"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:1","imrei-binah-introduction-introduction-1","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:2","imrei-binah-introduction-introduction-2","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:3","imrei-binah-introduction-introduction-3","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:4","imrei-binah-introduction-introduction-4","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:5","imrei-binah-introduction-introduction-5","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:6","imrei-binah-introduction-introduction-6","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:7","imrei-binah-introduction-introduction-7","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:8","imrei-binah-introduction-introduction-8","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:9","imrei-binah-introduction-introduction-9","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:10","imrei-binah-introduction-introduction-10","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Introduction:11","imrei-binah-introduction-introduction-11","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:1","imrei-binah-part-i-oseh-pele-introduction-1","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:2","imrei-binah-part-i-oseh-pele-introduction-2","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:3","imrei-binah-part-i-oseh-pele-introduction-3","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:4","imrei-binah-part-i-oseh-pele-introduction-4","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:5","imrei-binah-part-i-oseh-pele-introduction-5","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:6","imrei-binah-part-i-oseh-pele-introduction-6","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:7","imrei-binah-part-i-oseh-pele-introduction-7","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:8","imrei-binah-part-i-oseh-pele-introduction-8","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:9","imrei-binah-part-i-oseh-pele-introduction-9","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:10","imrei-binah-part-i-oseh-pele-introduction-10","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:11","imrei-binah-part-i-oseh-pele-introduction-11","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele, Introduction:12","imrei-binah-part-i-oseh-pele-introduction-12","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:1","imrei-binah-part-i-oseh-pele-default-1-1","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:2","imrei-binah-part-i-oseh-pele-default-1-2","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:3","imrei-binah-part-i-oseh-pele-default-1-3","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:4","imrei-binah-part-i-oseh-pele-default-1-4","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:5","imrei-binah-part-i-oseh-pele-default-1-5","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:6","imrei-binah-part-i-oseh-pele-default-1-6","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:7","imrei-binah-part-i-oseh-pele-default-1-7","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:8","imrei-binah-part-i-oseh-pele-default-1-8","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:9","imrei-binah-part-i-oseh-pele-default-1-9","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:10","imrei-binah-part-i-oseh-pele-default-1-10","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:11","imrei-binah-part-i-oseh-pele-default-1-11","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:12","imrei-binah-part-i-oseh-pele-default-1-12","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:13","imrei-binah-part-i-oseh-pele-default-1-13","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:14","imrei-binah-part-i-oseh-pele-default-1-14","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:15","imrei-binah-part-i-oseh-pele-default-1-15","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:16","imrei-binah-part-i-oseh-pele-default-1-16","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:17","imrei-binah-part-i-oseh-pele-default-1-17","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:18","imrei-binah-part-i-oseh-pele-default-1-18","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:19","imrei-binah-part-i-oseh-pele-default-1-19","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:20","imrei-binah-part-i-oseh-pele-default-1-20","","","not_done",""
"imrei-binah","Imrei Binah","Imrei Binah, Part I; Oseh Pele 1:21","imrei-binah-part-i-oseh-pele-default-1-21","","","not_done",""
