"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:1","nishmat-chayyim-introduction-introduction-1","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:2","nishmat-chayyim-introduction-introduction-2","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:3","nishmat-chayyim-introduction-introduction-3","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:4","nishmat-chayyim-introduction-introduction-4","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:5","nishmat-chayyim-introduction-introduction-5","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:6","nishmat-chayyim-introduction-introduction-6","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:7","nishmat-chayyim-introduction-introduction-7","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:8","nishmat-chayyim-introduction-introduction-8","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:9","nishmat-chayyim-introduction-introduction-9","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, Introduction:10","nishmat-chayyim-introduction-introduction-10","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:1","nishmat-chayyim-first-treatise-first-treatise-1-1","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:2","nishmat-chayyim-first-treatise-first-treatise-1-2","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:3","nishmat-chayyim-first-treatise-first-treatise-1-3","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:4","nishmat-chayyim-first-treatise-first-treatise-1-4","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:5","nishmat-chayyim-first-treatise-first-treatise-1-5","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:6","nishmat-chayyim-first-treatise-first-treatise-1-6","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:7","nishmat-chayyim-first-treatise-first-treatise-1-7","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:8","nishmat-chayyim-first-treatise-first-treatise-1-8","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:9","nishmat-chayyim-first-treatise-first-treatise-1-9","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:10","nishmat-chayyim-first-treatise-first-treatise-1-10","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:11","nishmat-chayyim-first-treatise-first-treatise-1-11","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 1:12","nishmat-chayyim-first-treatise-first-treatise-1-12","","","not_done",""
"nishmat-chayyim","Nishmat Chayyim","Nishmat Chayyim, First Treatise 2:1","nishmat-chayyim-first-treatise-first-treatise-2-1","","","not_done",""
