"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:2","pat-lechem-introduction-to-commentary-introduction-to-commentary-2","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:3","pat-lechem-introduction-to-commentary-introduction-to-commentary-3","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:4","pat-lechem-introduction-to-commentary-introduction-to-commentary-4","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:5","pat-lechem-introduction-to-commentary-introduction-to-commentary-5","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:6","pat-lechem-introduction-to-commentary-introduction-to-commentary-6","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:7","pat-lechem-introduction-to-commentary-introduction-to-commentary-7","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:8","pat-lechem-introduction-to-commentary-introduction-to-commentary-8","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:9","pat-lechem-introduction-to-commentary-introduction-to-commentary-9","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:10","pat-lechem-introduction-to-commentary-introduction-to-commentary-10","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:11","pat-lechem-introduction-to-commentary-introduction-to-commentary-11","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:12","pat-lechem-introduction-to-commentary-introduction-to-commentary-12","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction to Commentary:13","pat-lechem-introduction-to-commentary-introduction-to-commentary-13","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:1","pat-lechem-introduction-of-the-author-introduction-of-the-author-1","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:2","pat-lechem-introduction-of-the-author-introduction-of-the-author-2","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:3","pat-lechem-introduction-of-the-author-introduction-of-the-author-3","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:4","pat-lechem-introduction-of-the-author-introduction-of-the-author-4","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:5","pat-lechem-introduction-of-the-author-introduction-of-the-author-5","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:6","pat-lechem-introduction-of-the-author-introduction-of-the-author-6","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:7","pat-lechem-introduction-of-the-author-introduction-of-the-author-7","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:8","pat-lechem-introduction-of-the-author-introduction-of-the-author-8","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:9","pat-lechem-introduction-of-the-author-introduction-of-the-author-9","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:10","pat-lechem-introduction-of-the-author-introduction-of-the-author-10","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:11","pat-lechem-introduction-of-the-author-introduction-of-the-author-11","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:12","pat-lechem-introduction-of-the-author-introduction-of-the-author-12","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:13","pat-lechem-introduction-of-the-author-introduction-of-the-author-13","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:14","pat-lechem-introduction-of-the-author-introduction-of-the-author-14","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:15","pat-lechem-introduction-of-the-author-introduction-of-the-author-15","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:16","pat-lechem-introduction-of-the-author-introduction-of-the-author-16","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:17","pat-lechem-introduction-of-the-author-introduction-of-the-author-17","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:18","pat-lechem-introduction-of-the-author-introduction-of-the-author-18","","","not_done",""
"pat-lechem","Pat Lechem","Pat Lechem, Introduction of the Author:19","pat-lechem-introduction-of-the-author-introduction-of-the-author-19","","","not_done",""
