"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:1","chesed-leavraham-introduction-introduction-1","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:2","chesed-leavraham-introduction-introduction-2","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:3","chesed-leavraham-introduction-introduction-3","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:4","chesed-leavraham-introduction-introduction-4","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:5","chesed-leavraham-introduction-introduction-5","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:6","chesed-leavraham-introduction-introduction-6","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:7","chesed-leavraham-introduction-introduction-7","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:8","chesed-leavraham-introduction-introduction-8","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:9","chesed-leavraham-introduction-introduction-9","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:10","chesed-leavraham-introduction-introduction-10","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:11","chesed-leavraham-introduction-introduction-11","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:12","chesed-leavraham-introduction-introduction-12","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:13","chesed-leavraham-introduction-introduction-13","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:14","chesed-leavraham-introduction-introduction-14","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:15","chesed-leavraham-introduction-introduction-15","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:16","chesed-leavraham-introduction-introduction-16","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:17","chesed-leavraham-introduction-introduction-17","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:18","chesed-leavraham-introduction-introduction-18","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:19","chesed-leavraham-introduction-introduction-19","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:20","chesed-leavraham-introduction-introduction-20","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:21","chesed-leavraham-introduction-introduction-21","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:22","chesed-leavraham-introduction-introduction-22","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:23","chesed-leavraham-introduction-introduction-23","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:24","chesed-leavraham-introduction-introduction-24","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:25","chesed-leavraham-introduction-introduction-25","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:26","chesed-leavraham-introduction-introduction-26","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:27","chesed-leavraham-introduction-introduction-27","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:28","chesed-leavraham-introduction-introduction-28","","","not_done",""
"chesed-leavraham","Chesed LeAvraham","Chesed LeAvraham, Introduction:29","chesed-leavraham-introduction-introduction-29","","","not_done",""
