"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:1","azharot-of-solomon-ibn-gabirol-prelude-prelude-1","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:2","azharot-of-solomon-ibn-gabirol-prelude-prelude-2","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:3","azharot-of-solomon-ibn-gabirol-prelude-prelude-3","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:4","azharot-of-solomon-ibn-gabirol-prelude-prelude-4","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:5","azharot-of-solomon-ibn-gabirol-prelude-prelude-5","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:6","azharot-of-solomon-ibn-gabirol-prelude-prelude-6","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:7","azharot-of-solomon-ibn-gabirol-prelude-prelude-7","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:8","azharot-of-solomon-ibn-gabirol-prelude-prelude-8","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:9","azharot-of-solomon-ibn-gabirol-prelude-prelude-9","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:10","azharot-of-solomon-ibn-gabirol-prelude-prelude-10","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:11","azharot-of-solomon-ibn-gabirol-prelude-prelude-11","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:12","azharot-of-solomon-ibn-gabirol-prelude-prelude-12","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:13","azharot-of-solomon-ibn-gabirol-prelude-prelude-13","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:14","azharot-of-solomon-ibn-gabirol-prelude-prelude-14","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:15","azharot-of-solomon-ibn-gabirol-prelude-prelude-15","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:16","azharot-of-solomon-ibn-gabirol-prelude-prelude-16","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:17","azharot-of-solomon-ibn-gabirol-prelude-prelude-17","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:18","azharot-of-solomon-ibn-gabirol-prelude-prelude-18","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:19","azharot-of-solomon-ibn-gabirol-prelude-prelude-19","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Prelude:20","azharot-of-solomon-ibn-gabirol-prelude-prelude-20","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:1","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-1","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:2","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-2","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:3","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-3","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:4","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-4","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:5","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-5","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:6","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-6","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:7","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-7","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:8","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-8","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:9","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-9","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:10","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-10","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:11","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-11","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:12","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-12","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:13","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-13","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:14","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-14","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:15","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-15","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:16","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-16","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:17","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-17","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:18","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-18","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:19","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-19","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:20","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-20","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:21","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-21","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:22","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-22","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:23","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-23","","","not_done",""
"azharot-of-solomon-ibn-gabirol","Azharot of Solomon ibn Gabirol","Azharot of Solomon ibn Gabirol, Positive Commandments:24","azharot-of-solomon-ibn-gabirol-positive-commandments-positive-commandments-24","","","not_done",""
