"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:1","keter-malkhut-1-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:2","keter-malkhut-1-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:3","keter-malkhut-1-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:4","keter-malkhut-1-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:5","keter-malkhut-1-5","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:6","keter-malkhut-1-6","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:7","keter-malkhut-1-7","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:8","keter-malkhut-1-8","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:9","keter-malkhut-1-9","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:10","keter-malkhut-1-10","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:11","keter-malkhut-1-11","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:12","keter-malkhut-1-12","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:13","keter-malkhut-1-13","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:14","keter-malkhut-1-14","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 1:15","keter-malkhut-1-15","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 2:1","keter-malkhut-2-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 2:2","keter-malkhut-2-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 2:3","keter-malkhut-2-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 2:4","keter-malkhut-2-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 2:5","keter-malkhut-2-5","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 2:6","keter-malkhut-2-6","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 3:1","keter-malkhut-3-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 3:2","keter-malkhut-3-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 3:3","keter-malkhut-3-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 3:4","keter-malkhut-3-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 4:1","keter-malkhut-4-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 4:2","keter-malkhut-4-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 4:3","keter-malkhut-4-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 4:4","keter-malkhut-4-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 5:1","keter-malkhut-5-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 5:2","keter-malkhut-5-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 5:3","keter-malkhut-5-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 6:1","keter-malkhut-6-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 6:2","keter-malkhut-6-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 6:3","keter-malkhut-6-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 6:4","keter-malkhut-6-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 7:1","keter-malkhut-7-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 7:2","keter-malkhut-7-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 7:3","keter-malkhut-7-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:1","keter-malkhut-8-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:2","keter-malkhut-8-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:3","keter-malkhut-8-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:4","keter-malkhut-8-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:5","keter-malkhut-8-5","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:6","keter-malkhut-8-6","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:7","keter-malkhut-8-7","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:8","keter-malkhut-8-8","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:9","keter-malkhut-8-9","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:10","keter-malkhut-8-10","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 8:11","keter-malkhut-8-11","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:1","keter-malkhut-9-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:2","keter-malkhut-9-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:3","keter-malkhut-9-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:4","keter-malkhut-9-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:5","keter-malkhut-9-5","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:6","keter-malkhut-9-6","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:7","keter-malkhut-9-7","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:8","keter-malkhut-9-8","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:9","keter-malkhut-9-9","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 9:10","keter-malkhut-9-10","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 10:1","keter-malkhut-10-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 10:2","keter-malkhut-10-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 10:3","keter-malkhut-10-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 10:4","keter-malkhut-10-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 10:5","keter-malkhut-10-5","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 11:1","keter-malkhut-11-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 11:2","keter-malkhut-11-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 11:3","keter-malkhut-11-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 11:4","keter-malkhut-11-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 12:1","keter-malkhut-12-1","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 12:2","keter-malkhut-12-2","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 12:3","keter-malkhut-12-3","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 12:4","keter-malkhut-12-4","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 12:5","keter-malkhut-12-5","","","not_done",""
"keter-malkhut","Keter Malkhut","Keter Malkhut 12:6","keter-malkhut-12-6","","","not_done",""
