"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:1","etz-yosef-on-esther-rabbah-petichta-petichta-1-1","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:2","etz-yosef-on-esther-rabbah-petichta-petichta-1-2","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:3","etz-yosef-on-esther-rabbah-petichta-petichta-1-3","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:4","etz-yosef-on-esther-rabbah-petichta-petichta-1-4","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:5","etz-yosef-on-esther-rabbah-petichta-petichta-1-5","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:6","etz-yosef-on-esther-rabbah-petichta-petichta-1-6","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:7","etz-yosef-on-esther-rabbah-petichta-petichta-1-7","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:8","etz-yosef-on-esther-rabbah-petichta-petichta-1-8","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:9","etz-yosef-on-esther-rabbah-petichta-petichta-1-9","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:10","etz-yosef-on-esther-rabbah-petichta-petichta-1-10","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:11","etz-yosef-on-esther-rabbah-petichta-petichta-1-11","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 1:12","etz-yosef-on-esther-rabbah-petichta-petichta-1-12","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 2:1","etz-yosef-on-esther-rabbah-petichta-petichta-2-1","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 2:2","etz-yosef-on-esther-rabbah-petichta-petichta-2-2","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 2:3","etz-yosef-on-esther-rabbah-petichta-petichta-2-3","","","not_done",""
"etz-yosef-on-esther-rabbah","Etz Yosef on Esther Rabbah","Etz Yosef on Esther Rabbah, Petichta 3:1","etz-yosef-on-esther-rabbah-petichta-petichta-3-1","","","not_done",""
