"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:1","midrash-haittamari-1-1","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:2","midrash-haittamari-1-2","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:3","midrash-haittamari-1-3","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:4","midrash-haittamari-1-4","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:5","midrash-haittamari-1-5","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:6","midrash-haittamari-1-6","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:7","midrash-haittamari-1-7","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:8","midrash-haittamari-1-8","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:9","midrash-haittamari-1-9","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:10","midrash-haittamari-1-10","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:11","midrash-haittamari-1-11","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:12","midrash-haittamari-1-12","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:13","midrash-haittamari-1-13","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:14","midrash-haittamari-1-14","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:15","midrash-haittamari-1-15","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:16","midrash-haittamari-1-16","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:17","midrash-haittamari-1-17","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:18","midrash-haittamari-1-18","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:19","midrash-haittamari-1-19","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:20","midrash-haittamari-1-20","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:21","midrash-haittamari-1-21","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:22","midrash-haittamari-1-22","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:23","midrash-haittamari-1-23","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:24","midrash-haittamari-1-24","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:25","midrash-haittamari-1-25","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:26","midrash-haittamari-1-26","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:27","midrash-haittamari-1-27","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:28","midrash-haittamari-1-28","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:29","midrash-haittamari-1-29","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:30","midrash-haittamari-1-30","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:31","midrash-haittamari-1-31","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 1:32","midrash-haittamari-1-32","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:1","midrash-haittamari-2-1","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:2","midrash-haittamari-2-2","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:3","midrash-haittamari-2-3","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:4","midrash-haittamari-2-4","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:5","midrash-haittamari-2-5","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:6","midrash-haittamari-2-6","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:7","midrash-haittamari-2-7","","","not_done",""
"midrash-haittamari","Midrash HaIttamari","Midrash HaIttamari 2:8","midrash-haittamari-2-8","","","not_done",""
