"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:12:1","midrash-sekhel-tov-bereshit-bereshit-15-12-1","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:12:2","midrash-sekhel-tov-bereshit-bereshit-15-12-2","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:12:3","midrash-sekhel-tov-bereshit-bereshit-15-12-3","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:12:4","midrash-sekhel-tov-bereshit-bereshit-15-12-4","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:12:5","midrash-sekhel-tov-bereshit-bereshit-15-12-5","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:12:6","midrash-sekhel-tov-bereshit-bereshit-15-12-6","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:13:1","midrash-sekhel-tov-bereshit-bereshit-15-13-1","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:13:2","midrash-sekhel-tov-bereshit-bereshit-15-13-2","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:13:3","midrash-sekhel-tov-bereshit-bereshit-15-13-3","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:14:1","midrash-sekhel-tov-bereshit-bereshit-15-14-1","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:14:2","midrash-sekhel-tov-bereshit-bereshit-15-14-2","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:14:3","midrash-sekhel-tov-bereshit-bereshit-15-14-3","","","not_done",""
"midrash-sekhel-tov","Midrash Sekhel Tov","Midrash Sekhel Tov, Bereshit 15:15:1","midrash-sekhel-tov-bereshit-bereshit-15-15-1","","","not_done",""
