"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:1","midrash-tanchuma-bereshit-bereshit-1-1","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:2","midrash-tanchuma-bereshit-bereshit-1-2","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:3","midrash-tanchuma-bereshit-bereshit-1-3","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:4","midrash-tanchuma-bereshit-bereshit-1-4","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:5","midrash-tanchuma-bereshit-bereshit-1-5","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:6","midrash-tanchuma-bereshit-bereshit-1-6","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:7","midrash-tanchuma-bereshit-bereshit-1-7","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:8","midrash-tanchuma-bereshit-bereshit-1-8","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:9","midrash-tanchuma-bereshit-bereshit-1-9","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:10","midrash-tanchuma-bereshit-bereshit-1-10","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:11","midrash-tanchuma-bereshit-bereshit-1-11","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:12","midrash-tanchuma-bereshit-bereshit-1-12","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:13","midrash-tanchuma-bereshit-bereshit-1-13","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:14","midrash-tanchuma-bereshit-bereshit-1-14","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:15","midrash-tanchuma-bereshit-bereshit-1-15","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:16","midrash-tanchuma-bereshit-bereshit-1-16","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:17","midrash-tanchuma-bereshit-bereshit-1-17","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:18","midrash-tanchuma-bereshit-bereshit-1-18","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:19","midrash-tanchuma-bereshit-bereshit-1-19","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 1:20","midrash-tanchuma-bereshit-bereshit-1-20","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 2:1","midrash-tanchuma-bereshit-bereshit-2-1","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 2:2","midrash-tanchuma-bereshit-bereshit-2-2","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 2:3","midrash-tanchuma-bereshit-bereshit-2-3","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 2:4","midrash-tanchuma-bereshit-bereshit-2-4","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 2:5","midrash-tanchuma-bereshit-bereshit-2-5","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 2:6","midrash-tanchuma-bereshit-bereshit-2-6","","","not_done",""
"midrash-tanchuma","Midrash Tanchuma","Midrash Tanchuma, Bereshit 2:7","midrash-tanchuma-bereshit-bereshit-2-7","","","not_done",""
