"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:1","midrash-tannaim-on-deuteronomy-1-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:2","midrash-tannaim-on-deuteronomy-1-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:3","midrash-tannaim-on-deuteronomy-1-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:4","midrash-tannaim-on-deuteronomy-1-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:5","midrash-tannaim-on-deuteronomy-1-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:6","midrash-tannaim-on-deuteronomy-1-1-6","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:7","midrash-tannaim-on-deuteronomy-1-1-7","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:8","midrash-tannaim-on-deuteronomy-1-1-8","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:9","midrash-tannaim-on-deuteronomy-1-1-9","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:10","midrash-tannaim-on-deuteronomy-1-1-10","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:11","midrash-tannaim-on-deuteronomy-1-1-11","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:12","midrash-tannaim-on-deuteronomy-1-1-12","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:13","midrash-tannaim-on-deuteronomy-1-1-13","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:14","midrash-tannaim-on-deuteronomy-1-1-14","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:15","midrash-tannaim-on-deuteronomy-1-1-15","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:16","midrash-tannaim-on-deuteronomy-1-1-16","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:17","midrash-tannaim-on-deuteronomy-1-1-17","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:18","midrash-tannaim-on-deuteronomy-1-1-18","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:19","midrash-tannaim-on-deuteronomy-1-1-19","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:20","midrash-tannaim-on-deuteronomy-1-1-20","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:21","midrash-tannaim-on-deuteronomy-1-1-21","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:22","midrash-tannaim-on-deuteronomy-1-1-22","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 1:1:23","midrash-tannaim-on-deuteronomy-1-1-23","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 2:1:1","midrash-tannaim-on-deuteronomy-2-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 13:1:1","midrash-tannaim-on-deuteronomy-13-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 13:1:2","midrash-tannaim-on-deuteronomy-13-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 13:1:3","midrash-tannaim-on-deuteronomy-13-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 13:1:4","midrash-tannaim-on-deuteronomy-13-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:1","midrash-tannaim-on-deuteronomy-14-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:2","midrash-tannaim-on-deuteronomy-14-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:3","midrash-tannaim-on-deuteronomy-14-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:4","midrash-tannaim-on-deuteronomy-14-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:5","midrash-tannaim-on-deuteronomy-14-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:6","midrash-tannaim-on-deuteronomy-14-1-6","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:7","midrash-tannaim-on-deuteronomy-14-1-7","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:8","midrash-tannaim-on-deuteronomy-14-1-8","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:9","midrash-tannaim-on-deuteronomy-14-1-9","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:10","midrash-tannaim-on-deuteronomy-14-1-10","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:11","midrash-tannaim-on-deuteronomy-14-1-11","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:12","midrash-tannaim-on-deuteronomy-14-1-12","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:13","midrash-tannaim-on-deuteronomy-14-1-13","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:14","midrash-tannaim-on-deuteronomy-14-1-14","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:15","midrash-tannaim-on-deuteronomy-14-1-15","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:16","midrash-tannaim-on-deuteronomy-14-1-16","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:17","midrash-tannaim-on-deuteronomy-14-1-17","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:18","midrash-tannaim-on-deuteronomy-14-1-18","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:19","midrash-tannaim-on-deuteronomy-14-1-19","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:20","midrash-tannaim-on-deuteronomy-14-1-20","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 14:1:21","midrash-tannaim-on-deuteronomy-14-1-21","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 15:1:1","midrash-tannaim-on-deuteronomy-15-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 15:1:2","midrash-tannaim-on-deuteronomy-15-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 15:1:3","midrash-tannaim-on-deuteronomy-15-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 15:1:4","midrash-tannaim-on-deuteronomy-15-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:1","midrash-tannaim-on-deuteronomy-16-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:2","midrash-tannaim-on-deuteronomy-16-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:3","midrash-tannaim-on-deuteronomy-16-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:4","midrash-tannaim-on-deuteronomy-16-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:5","midrash-tannaim-on-deuteronomy-16-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:6","midrash-tannaim-on-deuteronomy-16-1-6","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:7","midrash-tannaim-on-deuteronomy-16-1-7","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:8","midrash-tannaim-on-deuteronomy-16-1-8","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:9","midrash-tannaim-on-deuteronomy-16-1-9","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:10","midrash-tannaim-on-deuteronomy-16-1-10","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 16:1:11","midrash-tannaim-on-deuteronomy-16-1-11","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 17:1:1","midrash-tannaim-on-deuteronomy-17-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 17:1:2","midrash-tannaim-on-deuteronomy-17-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 17:1:3","midrash-tannaim-on-deuteronomy-17-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 17:1:4","midrash-tannaim-on-deuteronomy-17-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 17:1:5","midrash-tannaim-on-deuteronomy-17-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 17:1:6","midrash-tannaim-on-deuteronomy-17-1-6","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 17:1:7","midrash-tannaim-on-deuteronomy-17-1-7","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 18:1:1","midrash-tannaim-on-deuteronomy-18-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 18:1:2","midrash-tannaim-on-deuteronomy-18-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 18:1:3","midrash-tannaim-on-deuteronomy-18-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 18:1:4","midrash-tannaim-on-deuteronomy-18-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 18:1:5","midrash-tannaim-on-deuteronomy-18-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 18:1:6","midrash-tannaim-on-deuteronomy-18-1-6","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 18:1:7","midrash-tannaim-on-deuteronomy-18-1-7","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 19:1:1","midrash-tannaim-on-deuteronomy-19-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 19:1:2","midrash-tannaim-on-deuteronomy-19-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 19:1:3","midrash-tannaim-on-deuteronomy-19-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 19:1:4","midrash-tannaim-on-deuteronomy-19-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 19:1:5","midrash-tannaim-on-deuteronomy-19-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:1","midrash-tannaim-on-deuteronomy-20-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:2","midrash-tannaim-on-deuteronomy-20-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:3","midrash-tannaim-on-deuteronomy-20-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:4","midrash-tannaim-on-deuteronomy-20-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:5","midrash-tannaim-on-deuteronomy-20-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:6","midrash-tannaim-on-deuteronomy-20-1-6","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:7","midrash-tannaim-on-deuteronomy-20-1-7","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:8","midrash-tannaim-on-deuteronomy-20-1-8","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:9","midrash-tannaim-on-deuteronomy-20-1-9","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:10","midrash-tannaim-on-deuteronomy-20-1-10","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:11","midrash-tannaim-on-deuteronomy-20-1-11","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:12","midrash-tannaim-on-deuteronomy-20-1-12","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:13","midrash-tannaim-on-deuteronomy-20-1-13","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:14","midrash-tannaim-on-deuteronomy-20-1-14","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:15","midrash-tannaim-on-deuteronomy-20-1-15","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:16","midrash-tannaim-on-deuteronomy-20-1-16","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 20:1:17","midrash-tannaim-on-deuteronomy-20-1-17","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 21:1:1","midrash-tannaim-on-deuteronomy-21-1-1","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 21:1:2","midrash-tannaim-on-deuteronomy-21-1-2","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 21:1:3","midrash-tannaim-on-deuteronomy-21-1-3","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 21:1:4","midrash-tannaim-on-deuteronomy-21-1-4","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 21:1:5","midrash-tannaim-on-deuteronomy-21-1-5","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 21:1:6","midrash-tannaim-on-deuteronomy-21-1-6","","","not_done",""
"midrash-tannaim-on-deuteronomy","Midrash Tannaim on Deuteronomy","Midrash Tannaim on Deuteronomy 21:1:7","midrash-tannaim-on-deuteronomy-21-1-7","","","not_done",""
