"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:1","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-1","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:2","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-2","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:3","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-3","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:4","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-4","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:5","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-5","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:6","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-6","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:7","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-7","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:8","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-8","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:9","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-9","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:10","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-10","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:11","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-11","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:12","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-12","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:13","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-13","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:14","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-14","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:15","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-15","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:16","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-16","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:17","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-17","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:18","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-18","","","not_done",""
"perush-maharzu-on-ruth-rabbah","Perush Maharzu on Ruth Rabbah","Perush Maharzu on Ruth Rabbah, Petichta 1:19","perush-maharzu-on-ruth-rabbah-petichta-petichta-1-19","","","not_done",""
