"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:1:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-1-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:4:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-4-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:5:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-5-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:5:2","yedei-moshe-on-shir-hashirim-rabbah-1-1-5-2","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:6:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-6-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:7:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-7-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:9:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-9-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:9:2","yedei-moshe-on-shir-hashirim-rabbah-1-1-9-2","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:9:3","yedei-moshe-on-shir-hashirim-rabbah-1-1-9-3","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:10:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-10-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:10:2","yedei-moshe-on-shir-hashirim-rabbah-1-1-10-2","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:10:3","yedei-moshe-on-shir-hashirim-rabbah-1-1-10-3","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:11:1","yedei-moshe-on-shir-hashirim-rabbah-1-1-11-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:1:11:2","yedei-moshe-on-shir-hashirim-rabbah-1-1-11-2","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:2:2:1","yedei-moshe-on-shir-hashirim-rabbah-1-2-2-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:2:3:1","yedei-moshe-on-shir-hashirim-rabbah-1-2-3-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:2:4:1","yedei-moshe-on-shir-hashirim-rabbah-1-2-4-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:2:6:1","yedei-moshe-on-shir-hashirim-rabbah-1-2-6-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:2:8:1","yedei-moshe-on-shir-hashirim-rabbah-1-2-8-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:2:8:2","yedei-moshe-on-shir-hashirim-rabbah-1-2-8-2","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:3:2:1","yedei-moshe-on-shir-hashirim-rabbah-1-3-2-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:4:2:1","yedei-moshe-on-shir-hashirim-rabbah-1-4-2-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:4:6:1","yedei-moshe-on-shir-hashirim-rabbah-1-4-6-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:4:9:1","yedei-moshe-on-shir-hashirim-rabbah-1-4-9-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:4:11:1","yedei-moshe-on-shir-hashirim-rabbah-1-4-11-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:5:3:1","yedei-moshe-on-shir-hashirim-rabbah-1-5-3-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:6:3:1","yedei-moshe-on-shir-hashirim-rabbah-1-6-3-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:6:4:1","yedei-moshe-on-shir-hashirim-rabbah-1-6-4-1","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:6:4:2","yedei-moshe-on-shir-hashirim-rabbah-1-6-4-2","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:6:4:3","yedei-moshe-on-shir-hashirim-rabbah-1-6-4-3","","","not_done",""
"yedei-moshe-on-shir-hashirim-rabbah","Yedei Moshe on Shir HaShirim Rabbah","Yedei Moshe on Shir HaShirim Rabbah 1:7:2:1","yedei-moshe-on-shir-hashirim-rabbah-1-7-2-1","","","not_done",""
