"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:1","boaz-on-mishnah-kelim-1-1","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:2","boaz-on-mishnah-kelim-1-2","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:3","boaz-on-mishnah-kelim-1-3","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:4","boaz-on-mishnah-kelim-1-4","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:5","boaz-on-mishnah-kelim-1-5","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:6","boaz-on-mishnah-kelim-1-6","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:7","boaz-on-mishnah-kelim-1-7","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:8","boaz-on-mishnah-kelim-1-8","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 1:9","boaz-on-mishnah-kelim-1-9","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:1","boaz-on-mishnah-kelim-2-1","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:2","boaz-on-mishnah-kelim-2-2","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:3","boaz-on-mishnah-kelim-2-3","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:4","boaz-on-mishnah-kelim-2-4","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:5","boaz-on-mishnah-kelim-2-5","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:6","boaz-on-mishnah-kelim-2-6","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:7","boaz-on-mishnah-kelim-2-7","","","not_done",""
"boaz-on-mishnah-kelim","Boaz on Mishnah Kelim","Boaz on Mishnah Kelim 2:8","boaz-on-mishnah-kelim-2-8","","","not_done",""
