"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:1","boaz-on-mishnah-mikvaot-1-1","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:2","boaz-on-mishnah-mikvaot-1-2","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:3","boaz-on-mishnah-mikvaot-1-3","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:4","boaz-on-mishnah-mikvaot-1-4","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:5","boaz-on-mishnah-mikvaot-1-5","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:6","boaz-on-mishnah-mikvaot-1-6","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:7","boaz-on-mishnah-mikvaot-1-7","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:8","boaz-on-mishnah-mikvaot-1-8","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 1:9","boaz-on-mishnah-mikvaot-1-9","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:1","boaz-on-mishnah-mikvaot-2-1","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:2","boaz-on-mishnah-mikvaot-2-2","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:3","boaz-on-mishnah-mikvaot-2-3","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:4","boaz-on-mishnah-mikvaot-2-4","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:5","boaz-on-mishnah-mikvaot-2-5","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:6","boaz-on-mishnah-mikvaot-2-6","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:7","boaz-on-mishnah-mikvaot-2-7","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:8","boaz-on-mishnah-mikvaot-2-8","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:9","boaz-on-mishnah-mikvaot-2-9","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 2:10","boaz-on-mishnah-mikvaot-2-10","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 3:1","boaz-on-mishnah-mikvaot-3-1","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 3:2","boaz-on-mishnah-mikvaot-3-2","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 3:3","boaz-on-mishnah-mikvaot-3-3","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 4:1","boaz-on-mishnah-mikvaot-4-1","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 4:2","boaz-on-mishnah-mikvaot-4-2","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 4:3","boaz-on-mishnah-mikvaot-4-3","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 4:4","boaz-on-mishnah-mikvaot-4-4","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 4:5","boaz-on-mishnah-mikvaot-4-5","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 4:6","boaz-on-mishnah-mikvaot-4-6","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:1","boaz-on-mishnah-mikvaot-5-1","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:2","boaz-on-mishnah-mikvaot-5-2","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:3","boaz-on-mishnah-mikvaot-5-3","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:4","boaz-on-mishnah-mikvaot-5-4","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:5","boaz-on-mishnah-mikvaot-5-5","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:6","boaz-on-mishnah-mikvaot-5-6","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:7","boaz-on-mishnah-mikvaot-5-7","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:8","boaz-on-mishnah-mikvaot-5-8","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:9","boaz-on-mishnah-mikvaot-5-9","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:10","boaz-on-mishnah-mikvaot-5-10","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:11","boaz-on-mishnah-mikvaot-5-11","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:12","boaz-on-mishnah-mikvaot-5-12","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 5:13","boaz-on-mishnah-mikvaot-5-13","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:1","boaz-on-mishnah-mikvaot-6-1","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:2","boaz-on-mishnah-mikvaot-6-2","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:3","boaz-on-mishnah-mikvaot-6-3","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:4","boaz-on-mishnah-mikvaot-6-4","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:5","boaz-on-mishnah-mikvaot-6-5","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:6","boaz-on-mishnah-mikvaot-6-6","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:7","boaz-on-mishnah-mikvaot-6-7","","","not_done",""
"boaz-on-mishnah-mikvaot","Boaz on Mishnah Mikvaot","Boaz on Mishnah Mikvaot 6:8","boaz-on-mishnah-mikvaot-6-8","","","not_done",""
