"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:1","mishnah-challah-1-1","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:2","mishnah-challah-1-2","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:3","mishnah-challah-1-3","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:4","mishnah-challah-1-4","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:5","mishnah-challah-1-5","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:6","mishnah-challah-1-6","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:7","mishnah-challah-1-7","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:8","mishnah-challah-1-8","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 1:9","mishnah-challah-1-9","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:1","mishnah-challah-2-1","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:2","mishnah-challah-2-2","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:3","mishnah-challah-2-3","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:4","mishnah-challah-2-4","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:5","mishnah-challah-2-5","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:6","mishnah-challah-2-6","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:7","mishnah-challah-2-7","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 2:8","mishnah-challah-2-8","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:1","mishnah-challah-3-1","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:2","mishnah-challah-3-2","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:3","mishnah-challah-3-3","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:4","mishnah-challah-3-4","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:5","mishnah-challah-3-5","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:6","mishnah-challah-3-6","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:7","mishnah-challah-3-7","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:8","mishnah-challah-3-8","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:9","mishnah-challah-3-9","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 3:10","mishnah-challah-3-10","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:1","mishnah-challah-4-1","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:2","mishnah-challah-4-2","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:3","mishnah-challah-4-3","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:4","mishnah-challah-4-4","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:5","mishnah-challah-4-5","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:6","mishnah-challah-4-6","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:7","mishnah-challah-4-7","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:8","mishnah-challah-4-8","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:9","mishnah-challah-4-9","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:10","mishnah-challah-4-10","","","not_done",""
"mishnah-challah","Mishnah Challah","Mishnah Challah 4:11","mishnah-challah-4-11","","","not_done",""
