"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 1:1","mishnah-kinnim-1-1","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 1:2","mishnah-kinnim-1-2","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 1:3","mishnah-kinnim-1-3","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 1:4","mishnah-kinnim-1-4","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 2:1","mishnah-kinnim-2-1","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 2:2","mishnah-kinnim-2-2","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 2:3","mishnah-kinnim-2-3","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 2:4","mishnah-kinnim-2-4","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 2:5","mishnah-kinnim-2-5","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 3:1","mishnah-kinnim-3-1","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 3:2","mishnah-kinnim-3-2","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 3:3","mishnah-kinnim-3-3","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 3:4","mishnah-kinnim-3-4","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 3:5","mishnah-kinnim-3-5","","","not_done",""
"mishnah-kinnim","Mishnah Kinnim","Mishnah Kinnim 3:6","mishnah-kinnim-3-6","","","not_done",""
