"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:1","mishnah-makkot-1-1","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:2","mishnah-makkot-1-2","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:3","mishnah-makkot-1-3","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:4","mishnah-makkot-1-4","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:5","mishnah-makkot-1-5","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:6","mishnah-makkot-1-6","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:7","mishnah-makkot-1-7","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:8","mishnah-makkot-1-8","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:9","mishnah-makkot-1-9","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 1:10","mishnah-makkot-1-10","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:1","mishnah-makkot-2-1","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:2","mishnah-makkot-2-2","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:3","mishnah-makkot-2-3","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:4","mishnah-makkot-2-4","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:5","mishnah-makkot-2-5","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:6","mishnah-makkot-2-6","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:7","mishnah-makkot-2-7","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 2:8","mishnah-makkot-2-8","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:1","mishnah-makkot-3-1","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:2","mishnah-makkot-3-2","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:3","mishnah-makkot-3-3","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:4","mishnah-makkot-3-4","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:5","mishnah-makkot-3-5","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:6","mishnah-makkot-3-6","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:7","mishnah-makkot-3-7","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:8","mishnah-makkot-3-8","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:9","mishnah-makkot-3-9","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:10","mishnah-makkot-3-10","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:11","mishnah-makkot-3-11","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:12","mishnah-makkot-3-12","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:13","mishnah-makkot-3-13","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:14","mishnah-makkot-3-14","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:15","mishnah-makkot-3-15","","","not_done",""
"mishnah-makkot","Mishnah Makkot","Mishnah Makkot 3:16","mishnah-makkot-3-16","","","not_done",""
