"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 1:1","mishnah-sanhedrin-1-1","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 1:2","mishnah-sanhedrin-1-2","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 1:3","mishnah-sanhedrin-1-3","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 1:4","mishnah-sanhedrin-1-4","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 1:5","mishnah-sanhedrin-1-5","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 1:6","mishnah-sanhedrin-1-6","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 2:1","mishnah-sanhedrin-2-1","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 2:2","mishnah-sanhedrin-2-2","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 2:3","mishnah-sanhedrin-2-3","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 2:4","mishnah-sanhedrin-2-4","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 2:5","mishnah-sanhedrin-2-5","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:1","mishnah-sanhedrin-3-1","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:2","mishnah-sanhedrin-3-2","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:3","mishnah-sanhedrin-3-3","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:4","mishnah-sanhedrin-3-4","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:5","mishnah-sanhedrin-3-5","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:6","mishnah-sanhedrin-3-6","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:7","mishnah-sanhedrin-3-7","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 3:8","mishnah-sanhedrin-3-8","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 4:1","mishnah-sanhedrin-4-1","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 4:2","mishnah-sanhedrin-4-2","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 4:3","mishnah-sanhedrin-4-3","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 4:4","mishnah-sanhedrin-4-4","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 4:5","mishnah-sanhedrin-4-5","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 5:1","mishnah-sanhedrin-5-1","","","not_done",""
"mishnah-sanhedrin","Mishnah Sanhedrin","Mishnah Sanhedrin 5:2","mishnah-sanhedrin-5-2","","","not_done",""
