"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:1","mishnah-sotah-1-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:2","mishnah-sotah-1-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:3","mishnah-sotah-1-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:4","mishnah-sotah-1-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:5","mishnah-sotah-1-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:6","mishnah-sotah-1-6","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:7","mishnah-sotah-1-7","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:8","mishnah-sotah-1-8","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 1:9","mishnah-sotah-1-9","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 2:1","mishnah-sotah-2-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 2:2","mishnah-sotah-2-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 2:3","mishnah-sotah-2-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 2:4","mishnah-sotah-2-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 2:5","mishnah-sotah-2-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 2:6","mishnah-sotah-2-6","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:1","mishnah-sotah-3-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:2","mishnah-sotah-3-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:3","mishnah-sotah-3-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:4","mishnah-sotah-3-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:5","mishnah-sotah-3-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:6","mishnah-sotah-3-6","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:7","mishnah-sotah-3-7","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 3:8","mishnah-sotah-3-8","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 4:1","mishnah-sotah-4-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 4:2","mishnah-sotah-4-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 4:3","mishnah-sotah-4-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 4:4","mishnah-sotah-4-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 4:5","mishnah-sotah-4-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 5:1","mishnah-sotah-5-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 5:2","mishnah-sotah-5-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 5:3","mishnah-sotah-5-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 5:4","mishnah-sotah-5-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 5:5","mishnah-sotah-5-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 6:1","mishnah-sotah-6-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 6:2","mishnah-sotah-6-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 6:3","mishnah-sotah-6-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 6:4","mishnah-sotah-6-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:1","mishnah-sotah-7-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:2","mishnah-sotah-7-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:3","mishnah-sotah-7-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:4","mishnah-sotah-7-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:5","mishnah-sotah-7-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:6","mishnah-sotah-7-6","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:7","mishnah-sotah-7-7","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 7:8","mishnah-sotah-7-8","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 8:1","mishnah-sotah-8-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 8:2","mishnah-sotah-8-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 8:3","mishnah-sotah-8-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 8:4","mishnah-sotah-8-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 8:5","mishnah-sotah-8-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 8:6","mishnah-sotah-8-6","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 8:7","mishnah-sotah-8-7","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:1","mishnah-sotah-9-1","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:2","mishnah-sotah-9-2","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:3","mishnah-sotah-9-3","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:4","mishnah-sotah-9-4","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:5","mishnah-sotah-9-5","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:6","mishnah-sotah-9-6","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:7","mishnah-sotah-9-7","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:8","mishnah-sotah-9-8","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:9","mishnah-sotah-9-9","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:10","mishnah-sotah-9-10","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:11","mishnah-sotah-9-11","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:12","mishnah-sotah-9-12","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:13","mishnah-sotah-9-13","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:14","mishnah-sotah-9-14","","","not_done",""
"mishnah-sotah","Mishnah Sotah","Mishnah Sotah 9:15","mishnah-sotah-9-15","","","not_done",""
