"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 1:1","mishnah-zavim-1-1","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 1:2","mishnah-zavim-1-2","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 1:3","mishnah-zavim-1-3","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 1:4","mishnah-zavim-1-4","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 1:5","mishnah-zavim-1-5","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 1:6","mishnah-zavim-1-6","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 2:1","mishnah-zavim-2-1","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 2:2","mishnah-zavim-2-2","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 2:3","mishnah-zavim-2-3","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 2:4","mishnah-zavim-2-4","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 3:1","mishnah-zavim-3-1","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 3:2","mishnah-zavim-3-2","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 3:3","mishnah-zavim-3-3","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 4:1","mishnah-zavim-4-1","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 4:2","mishnah-zavim-4-2","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 4:3","mishnah-zavim-4-3","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 4:4","mishnah-zavim-4-4","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 4:5","mishnah-zavim-4-5","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 4:6","mishnah-zavim-4-6","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 4:7","mishnah-zavim-4-7","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:1","mishnah-zavim-5-1","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:2","mishnah-zavim-5-2","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:3","mishnah-zavim-5-3","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:4","mishnah-zavim-5-4","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:5","mishnah-zavim-5-5","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:6","mishnah-zavim-5-6","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:7","mishnah-zavim-5-7","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:8","mishnah-zavim-5-8","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:9","mishnah-zavim-5-9","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:10","mishnah-zavim-5-10","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:11","mishnah-zavim-5-11","","","not_done",""
"mishnah-zavim","Mishnah Zavim","Mishnah Zavim 5:12","mishnah-zavim-5-12","","","not_done",""
