"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:1","sefer-hayashar-introduction-introduction-1","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:2","sefer-hayashar-introduction-introduction-2","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:3","sefer-hayashar-introduction-introduction-3","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:4","sefer-hayashar-introduction-introduction-4","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:5","sefer-hayashar-introduction-introduction-5","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:6","sefer-hayashar-introduction-introduction-6","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:7","sefer-hayashar-introduction-introduction-7","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:8","sefer-hayashar-introduction-introduction-8","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar, Introduction:9","sefer-hayashar-introduction-introduction-9","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:1","sefer-hayashar-default-default-1-1","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:2","sefer-hayashar-default-default-1-2","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:3","sefer-hayashar-default-default-1-3","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:4","sefer-hayashar-default-default-1-4","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:5","sefer-hayashar-default-default-1-5","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:6","sefer-hayashar-default-default-1-6","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:7","sefer-hayashar-default-default-1-7","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:8","sefer-hayashar-default-default-1-8","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:9","sefer-hayashar-default-default-1-9","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:10","sefer-hayashar-default-default-1-10","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:11","sefer-hayashar-default-default-1-11","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:12","sefer-hayashar-default-default-1-12","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:13","sefer-hayashar-default-default-1-13","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:14","sefer-hayashar-default-default-1-14","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:15","sefer-hayashar-default-default-1-15","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 1:16","sefer-hayashar-default-default-1-16","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:1","sefer-hayashar-default-default-2-1","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:2","sefer-hayashar-default-default-2-2","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:3","sefer-hayashar-default-default-2-3","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:4","sefer-hayashar-default-default-2-4","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:5","sefer-hayashar-default-default-2-5","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:6","sefer-hayashar-default-default-2-6","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:7","sefer-hayashar-default-default-2-7","","","not_done",""
"sefer-hayashar","Sefer HaYashar","Sefer HaYashar 2:8","sefer-hayashar-default-default-2-8","","","not_done",""
