"work_id","work_title","source_ref","anchor_id","translation","translator_notes","status"
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:1:1","orot-ha-kodesh-1-1-1-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:2:1","orot-ha-kodesh-1-1-2-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:3:1","orot-ha-kodesh-1-1-3-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:4:1","orot-ha-kodesh-1-1-4-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:5:1","orot-ha-kodesh-1-1-5-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:6:1","orot-ha-kodesh-1-1-6-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:7:1","orot-ha-kodesh-1-1-7-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:8:1","orot-ha-kodesh-1-1-8-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:9:1","orot-ha-kodesh-1-1-9-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:10:1","orot-ha-kodesh-1-1-10-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:11:1","orot-ha-kodesh-1-1-11-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:12:1","orot-ha-kodesh-1-1-12-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:13:1","orot-ha-kodesh-1-1-13-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:14:1","orot-ha-kodesh-1-1-14-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:15:1","orot-ha-kodesh-1-1-15-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:16:1","orot-ha-kodesh-1-1-16-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:17:1","orot-ha-kodesh-1-1-17-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:18:1","orot-ha-kodesh-1-1-18-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:19:1","orot-ha-kodesh-1-1-19-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:20:1","orot-ha-kodesh-1-1-20-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:21:1","orot-ha-kodesh-1-1-21-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:22:1","orot-ha-kodesh-1-1-22-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:23:1","orot-ha-kodesh-1-1-23-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:24:1","orot-ha-kodesh-1-1-24-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:25:1","orot-ha-kodesh-1-1-25-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:26:1","orot-ha-kodesh-1-1-26-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:27:1","orot-ha-kodesh-1-1-27-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:28:1","orot-ha-kodesh-1-1-28-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:29:1","orot-ha-kodesh-1-1-29-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:30:1","orot-ha-kodesh-1-1-30-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:31:1","orot-ha-kodesh-1-1-31-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:32:1","orot-ha-kodesh-1-1-32-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:33:1","orot-ha-kodesh-1-1-33-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:34:1","orot-ha-kodesh-1-1-34-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:35:1","orot-ha-kodesh-1-1-35-1","","",""
"orot-ha-kodesh","Orot HaKodesh","Orot HaKodesh 1:1:36:1","orot-ha-kodesh-1-1-36-1","","",""
