"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:1","the-book-of-maccabees-i-1-1","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:2","the-book-of-maccabees-i-1-2","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:3","the-book-of-maccabees-i-1-3","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:4","the-book-of-maccabees-i-1-4","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:5","the-book-of-maccabees-i-1-5","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:6","the-book-of-maccabees-i-1-6","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:7","the-book-of-maccabees-i-1-7","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:8","the-book-of-maccabees-i-1-8","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:9","the-book-of-maccabees-i-1-9","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:10","the-book-of-maccabees-i-1-10","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:11","the-book-of-maccabees-i-1-11","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:12","the-book-of-maccabees-i-1-12","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:13","the-book-of-maccabees-i-1-13","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:14","the-book-of-maccabees-i-1-14","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:15","the-book-of-maccabees-i-1-15","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:16","the-book-of-maccabees-i-1-16","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:17","the-book-of-maccabees-i-1-17","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:18","the-book-of-maccabees-i-1-18","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:19","the-book-of-maccabees-i-1-19","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:20","the-book-of-maccabees-i-1-20","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:21","the-book-of-maccabees-i-1-21","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:22","the-book-of-maccabees-i-1-22","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:23","the-book-of-maccabees-i-1-23","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:24","the-book-of-maccabees-i-1-24","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:25","the-book-of-maccabees-i-1-25","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:26","the-book-of-maccabees-i-1-26","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:27","the-book-of-maccabees-i-1-27","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:28","the-book-of-maccabees-i-1-28","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:29","the-book-of-maccabees-i-1-29","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:30","the-book-of-maccabees-i-1-30","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:31","the-book-of-maccabees-i-1-31","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:32","the-book-of-maccabees-i-1-32","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:33","the-book-of-maccabees-i-1-33","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:34","the-book-of-maccabees-i-1-34","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:35","the-book-of-maccabees-i-1-35","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:36","the-book-of-maccabees-i-1-36","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:37","the-book-of-maccabees-i-1-37","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:38","the-book-of-maccabees-i-1-38","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:39","the-book-of-maccabees-i-1-39","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:40","the-book-of-maccabees-i-1-40","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:41","the-book-of-maccabees-i-1-41","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:42","the-book-of-maccabees-i-1-42","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:43","the-book-of-maccabees-i-1-43","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:44","the-book-of-maccabees-i-1-44","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:45","the-book-of-maccabees-i-1-45","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:46","the-book-of-maccabees-i-1-46","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:47","the-book-of-maccabees-i-1-47","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:48","the-book-of-maccabees-i-1-48","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:49","the-book-of-maccabees-i-1-49","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:50","the-book-of-maccabees-i-1-50","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:51","the-book-of-maccabees-i-1-51","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:52","the-book-of-maccabees-i-1-52","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:53","the-book-of-maccabees-i-1-53","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:54","the-book-of-maccabees-i-1-54","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:55","the-book-of-maccabees-i-1-55","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:56","the-book-of-maccabees-i-1-56","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:57","the-book-of-maccabees-i-1-57","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:58","the-book-of-maccabees-i-1-58","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:59","the-book-of-maccabees-i-1-59","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:60","the-book-of-maccabees-i-1-60","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:61","the-book-of-maccabees-i-1-61","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 1:62","the-book-of-maccabees-i-1-62","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 2:1","the-book-of-maccabees-i-2-1","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 2:2","the-book-of-maccabees-i-2-2","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 2:3","the-book-of-maccabees-i-2-3","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 2:4","the-book-of-maccabees-i-2-4","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 2:5","the-book-of-maccabees-i-2-5","","","not_done",""
"the-book-of-maccabees-i","The Book of Maccabees I","The Book of Maccabees I 2:6","the-book-of-maccabees-i-2-6","","","not_done",""
