"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:1","aramaic-targum-to-song-of-songs-1-1","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:2","aramaic-targum-to-song-of-songs-1-2","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:3","aramaic-targum-to-song-of-songs-1-3","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:4","aramaic-targum-to-song-of-songs-1-4","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:5","aramaic-targum-to-song-of-songs-1-5","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:6","aramaic-targum-to-song-of-songs-1-6","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:7","aramaic-targum-to-song-of-songs-1-7","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:8","aramaic-targum-to-song-of-songs-1-8","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:9","aramaic-targum-to-song-of-songs-1-9","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:10","aramaic-targum-to-song-of-songs-1-10","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:11","aramaic-targum-to-song-of-songs-1-11","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:12","aramaic-targum-to-song-of-songs-1-12","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:13","aramaic-targum-to-song-of-songs-1-13","","","not_done",""
"aramaic-targum-to-song-of-songs","Aramaic Targum to Song of Songs","Aramaic Targum to Song of Songs 1:14","aramaic-targum-to-song-of-songs-1-14","","","not_done",""
