"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:1","targum-of-ii-chronicles-1-1","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:2","targum-of-ii-chronicles-1-2","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:3","targum-of-ii-chronicles-1-3","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:4","targum-of-ii-chronicles-1-4","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:5","targum-of-ii-chronicles-1-5","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:6","targum-of-ii-chronicles-1-6","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:7","targum-of-ii-chronicles-1-7","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:8","targum-of-ii-chronicles-1-8","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:9","targum-of-ii-chronicles-1-9","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:10","targum-of-ii-chronicles-1-10","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:11","targum-of-ii-chronicles-1-11","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:12","targum-of-ii-chronicles-1-12","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:13","targum-of-ii-chronicles-1-13","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:14","targum-of-ii-chronicles-1-14","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:15","targum-of-ii-chronicles-1-15","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:16","targum-of-ii-chronicles-1-16","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:17","targum-of-ii-chronicles-1-17","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 1:18","targum-of-ii-chronicles-1-18","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:1","targum-of-ii-chronicles-2-1","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:2","targum-of-ii-chronicles-2-2","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:3","targum-of-ii-chronicles-2-3","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:4","targum-of-ii-chronicles-2-4","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:5","targum-of-ii-chronicles-2-5","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:6","targum-of-ii-chronicles-2-6","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:7","targum-of-ii-chronicles-2-7","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:8","targum-of-ii-chronicles-2-8","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:9","targum-of-ii-chronicles-2-9","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:10","targum-of-ii-chronicles-2-10","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:11","targum-of-ii-chronicles-2-11","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:12","targum-of-ii-chronicles-2-12","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:13","targum-of-ii-chronicles-2-13","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:14","targum-of-ii-chronicles-2-14","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:15","targum-of-ii-chronicles-2-15","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:16","targum-of-ii-chronicles-2-16","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 2:17","targum-of-ii-chronicles-2-17","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:1","targum-of-ii-chronicles-3-1","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:2","targum-of-ii-chronicles-3-2","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:3","targum-of-ii-chronicles-3-3","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:4","targum-of-ii-chronicles-3-4","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:5","targum-of-ii-chronicles-3-5","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:6","targum-of-ii-chronicles-3-6","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:7","targum-of-ii-chronicles-3-7","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:8","targum-of-ii-chronicles-3-8","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:9","targum-of-ii-chronicles-3-9","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:10","targum-of-ii-chronicles-3-10","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:11","targum-of-ii-chronicles-3-11","","","not_done",""
"targum-of-ii-chronicles","Targum of II Chronicles","Targum of II Chronicles 3:12","targum-of-ii-chronicles-3-12","","","not_done",""
