"work_id","work_title","source_ref","anchor_id","translation","translator_notes","done_status","updated_at"
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:1","tosefta-bava-batra-1-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:2","tosefta-bava-batra-1-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:3","tosefta-bava-batra-1-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:4","tosefta-bava-batra-1-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:5","tosefta-bava-batra-1-5","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:6","tosefta-bava-batra-1-6","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:7","tosefta-bava-batra-1-7","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 1:8","tosefta-bava-batra-1-8","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 2:1","tosefta-bava-batra-2-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 2:2","tosefta-bava-batra-2-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 2:3","tosefta-bava-batra-2-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 2:4","tosefta-bava-batra-2-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 2:5","tosefta-bava-batra-2-5","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 2:6","tosefta-bava-batra-2-6","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 3:1","tosefta-bava-batra-3-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 3:2","tosefta-bava-batra-3-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 3:3","tosefta-bava-batra-3-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 3:4","tosefta-bava-batra-3-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 3:5","tosefta-bava-batra-3-5","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 3:6","tosefta-bava-batra-3-6","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 3:7","tosefta-bava-batra-3-7","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:1","tosefta-bava-batra-4-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:2","tosefta-bava-batra-4-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:3","tosefta-bava-batra-4-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:4","tosefta-bava-batra-4-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:5","tosefta-bava-batra-4-5","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:6","tosefta-bava-batra-4-6","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:7","tosefta-bava-batra-4-7","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:8","tosefta-bava-batra-4-8","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:9","tosefta-bava-batra-4-9","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 4:10","tosefta-bava-batra-4-10","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 5:1","tosefta-bava-batra-5-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 5:2","tosefta-bava-batra-5-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 5:3","tosefta-bava-batra-5-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 5:4","tosefta-bava-batra-5-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:1","tosefta-bava-batra-6-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:2","tosefta-bava-batra-6-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:3","tosefta-bava-batra-6-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:4","tosefta-bava-batra-6-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:5","tosefta-bava-batra-6-5","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:6","tosefta-bava-batra-6-6","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:7","tosefta-bava-batra-6-7","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:8","tosefta-bava-batra-6-8","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 6:9","tosefta-bava-batra-6-9","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 7:1","tosefta-bava-batra-7-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 7:2","tosefta-bava-batra-7-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 7:3","tosefta-bava-batra-7-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 7:4","tosefta-bava-batra-7-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 7:5","tosefta-bava-batra-7-5","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 8:1","tosefta-bava-batra-8-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 8:2","tosefta-bava-batra-8-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 8:3","tosefta-bava-batra-8-3","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 8:4","tosefta-bava-batra-8-4","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 9:1","tosefta-bava-batra-9-1","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 9:2","tosefta-bava-batra-9-2","","","not_done",""
"tosefta-bava-batra","Tosefta Bava Batra","Tosefta Bava Batra 9:3","tosefta-bava-batra-9-3","","","not_done",""
